Using GPU: 1...
X_train.shape=(30752, 2, 64), y_train.shape=(30752,);
X_test.shape=(3942, 2, 64), y_test.shape=(3942,)
Creating the data generator ...
PreTrain Embedding hitRate=0.9407318579890258
model.bilstm.embedding.weight
model.bilstm.quote_bilstm.weight_ih_l0
model.bilstm.quote_bilstm.weight_hh_l0
model.bilstm.quote_bilstm.bias_ih_l0
model.bilstm.quote_bilstm.bias_hh_l0
model.bilstm.quote_bilstm.weight_ih_l0_reverse
model.bilstm.quote_bilstm.weight_hh_l0_reverse
model.bilstm.quote_bilstm.bias_ih_l0_reverse
model.bilstm.quote_bilstm.bias_hh_l0_reverse
model.bilstm.quote_bilstm.weight_ih_l1
model.bilstm.quote_bilstm.weight_hh_l1
model.bilstm.quote_bilstm.bias_ih_l1
model.bilstm.quote_bilstm.bias_hh_l1
model.bilstm.quote_bilstm.weight_ih_l1_reverse
model.bilstm.quote_bilstm.weight_hh_l1_reverse
model.bilstm.quote_bilstm.bias_ih_l1_reverse
model.bilstm.quote_bilstm.bias_hh_l1_reverse
model.bilstm.response_bilstm.weight_ih_l0
model.bilstm.response_bilstm.weight_hh_l0
model.bilstm.response_bilstm.bias_ih_l0
model.bilstm.response_bilstm.bias_hh_l0
model.bilstm.response_bilstm.weight_ih_l0_reverse
model.bilstm.response_bilstm.weight_hh_l0_reverse
model.bilstm.response_bilstm.bias_ih_l0_reverse
model.bilstm.response_bilstm.bias_hh_l0_reverse
model.bilstm.response_bilstm.weight_ih_l1
model.bilstm.response_bilstm.weight_hh_l1
model.bilstm.response_bilstm.bias_ih_l1
model.bilstm.response_bilstm.bias_hh_l1
model.bilstm.response_bilstm.weight_ih_l1_reverse
model.bilstm.response_bilstm.weight_hh_l1_reverse
model.bilstm.response_bilstm.bias_ih_l1_reverse
model.bilstm.response_bilstm.bias_hh_l1_reverse
model.q2q_attention_layer.0.weight
model.q2q_attention_layer.0.bias
model.q2q_attention_layer.3.weight
model.q2q_attention_layer.3.bias
model.r2r_attention_layer.0.weight
model.r2r_attention_layer.0.bias
model.r2r_attention_layer.3.weight
model.r2r_attention_layer.3.bias
model.r2q_attention_layer.0.weight
model.r2q_attention_layer.0.bias
model.r2q_attention_layer.3.weight
model.r2q_attention_layer.3.bias
model.q2r_attention_layer.0.weight
model.q2r_attention_layer.0.bias
model.q2r_attention_layer.3.weight
model.q2r_attention_layer.3.bias
out.0.weight
out.0.bias
out.3.weight
out.3.bias
BATCH 1 training acc=0.562500, cost=0.689648, test acc=0.664891, cost=0.639992, disagree_f1=0.798720, agree_f1=0.000000, average_f1=0.399360
BATCH 2 training acc=0.687500, cost=0.627238, test acc=0.664891, cost=0.620150, disagree_f1=0.798720, agree_f1=0.000000, average_f1=0.399360
BATCH 3 training acc=0.718750, cost=0.573031, test acc=0.664891, cost=0.658997, disagree_f1=0.798720, agree_f1=0.000000, average_f1=0.399360
BATCH 4 training acc=0.750000, cost=0.519991, test acc=0.664891, cost=0.701012, disagree_f1=0.798720, agree_f1=0.000000, average_f1=0.399360
BATCH 5 training acc=0.562500, cost=0.895376, test acc=0.664891, cost=0.664932, disagree_f1=0.798720, agree_f1=0.000000, average_f1=0.399360
BATCH 6 training acc=0.625000, cost=0.728724, test acc=0.664891, cost=0.618802, disagree_f1=0.798720, agree_f1=0.000000, average_f1=0.399360
BATCH 7 training acc=0.625000, cost=0.669622, test acc=0.665145, cost=0.605164, disagree_f1=0.798842, agree_f1=0.001513, average_f1=0.400177
BATCH 8 training acc=0.750000, cost=0.530958, test acc=0.671487, cost=0.608577, disagree_f1=0.796671, agree_f1=0.145215, average_f1=0.470943
BATCH 9 training acc=0.750000, cost=0.571455, test acc=0.676053, cost=0.603686, disagree_f1=0.797591, agree_f1=0.189206, average_f1=0.493399
BATCH 10 training acc=0.718750, cost=0.567186, test acc=0.664130, cost=0.597380, disagree_f1=0.795490, agree_f1=0.060993, average_f1=0.428241
BATCH 11 training acc=0.625000, cost=0.594460, test acc=0.664637, cost=0.597720, disagree_f1=0.796615, agree_f1=0.044798, average_f1=0.420707
BATCH 12 training acc=0.656250, cost=0.574805, test acc=0.666413, cost=0.603551, disagree_f1=0.796597, agree_f1=0.073291, average_f1=0.434944
BATCH 13 training acc=0.593750, cost=0.618124, test acc=0.669457, cost=0.604361, disagree_f1=0.793601, agree_f1=0.170592, average_f1=0.482096
BATCH 14 training acc=0.500000, cost=0.899231, test acc=0.681126, cost=0.598554, disagree_f1=0.791092, agree_f1=0.326727, average_f1=0.558910
BATCH 15 training acc=0.593750, cost=0.693218, test acc=0.670979, cost=0.598053, disagree_f1=0.763451, agree_f1=0.459808, average_f1=0.611630
BATCH 16 training acc=0.718750, cost=0.598323, test acc=0.660325, cost=0.601736, disagree_f1=0.745195, agree_f1=0.490681, average_f1=0.617938
BATCH 17 training acc=0.687500, cost=0.559943, test acc=0.661593, cost=0.601566, disagree_f1=0.747061, agree_f1=0.488889, average_f1=0.617975
BATCH 18 training acc=0.562500, cost=0.573794, test acc=0.661847, cost=0.600919, disagree_f1=0.747586, agree_f1=0.487899, average_f1=0.617742
