Using GPU: 2...
X_train.shape=(30752, 2, 64), y_train.shape=(30752,);
X_test.shape=(3942, 2, 64), y_test.shape=(3942,)
Creating the data generator ...
PreTrain Embedding hitRate=0.9407318579890258
model.bilstm.embedding.weight
model.bilstm.quote_bilstm.weight_ih_l0
model.bilstm.quote_bilstm.weight_hh_l0
model.bilstm.quote_bilstm.bias_ih_l0
model.bilstm.quote_bilstm.bias_hh_l0
model.bilstm.quote_bilstm.weight_ih_l0_reverse
model.bilstm.quote_bilstm.weight_hh_l0_reverse
model.bilstm.quote_bilstm.bias_ih_l0_reverse
model.bilstm.quote_bilstm.bias_hh_l0_reverse
model.bilstm.quote_bilstm.weight_ih_l1
model.bilstm.quote_bilstm.weight_hh_l1
model.bilstm.quote_bilstm.bias_ih_l1
model.bilstm.quote_bilstm.bias_hh_l1
model.bilstm.quote_bilstm.weight_ih_l1_reverse
model.bilstm.quote_bilstm.weight_hh_l1_reverse
model.bilstm.quote_bilstm.bias_ih_l1_reverse
model.bilstm.quote_bilstm.bias_hh_l1_reverse
model.bilstm.response_bilstm.weight_ih_l0
model.bilstm.response_bilstm.weight_hh_l0
model.bilstm.response_bilstm.bias_ih_l0
model.bilstm.response_bilstm.bias_hh_l0
model.bilstm.response_bilstm.weight_ih_l0_reverse
model.bilstm.response_bilstm.weight_hh_l0_reverse
model.bilstm.response_bilstm.bias_ih_l0_reverse
model.bilstm.response_bilstm.bias_hh_l0_reverse
model.bilstm.response_bilstm.weight_ih_l1
model.bilstm.response_bilstm.weight_hh_l1
model.bilstm.response_bilstm.bias_ih_l1
model.bilstm.response_bilstm.bias_hh_l1
model.bilstm.response_bilstm.weight_ih_l1_reverse
model.bilstm.response_bilstm.weight_hh_l1_reverse
model.bilstm.response_bilstm.bias_ih_l1_reverse
model.bilstm.response_bilstm.bias_hh_l1_reverse
model.q2q_attention_layer.0.weight
model.q2q_attention_layer.0.bias
model.q2q_attention_layer.3.weight
model.q2q_attention_layer.3.bias
model.r2r_attention_layer.0.weight
model.r2r_attention_layer.0.bias
model.r2r_attention_layer.3.weight
model.r2r_attention_layer.3.bias
model.cross_dot_v2_r2q_attention_layer.0.weight
model.cross_dot_v2_r2q_attention_layer.0.bias
model.cross_dot_v2_q2r_attention_layer.0.weight
model.cross_dot_v2_q2r_attention_layer.0.bias
out.0.weight
out.0.bias
out.3.weight
out.3.bias
BATCH 1 training acc=0.718750, cost=0.671905, test acc=0.664891, cost=0.630172, disagree_f1=0.798720, agree_f1=0.000000, average_f1=0.399360
BATCH 2 training acc=0.718750, cost=0.600661, test acc=0.664891, cost=0.642250, disagree_f1=0.798720, agree_f1=0.000000, average_f1=0.399360
BATCH 3 training acc=0.625000, cost=0.682559, test acc=0.664891, cost=0.638768, disagree_f1=0.798720, agree_f1=0.000000, average_f1=0.399360
BATCH 4 training acc=0.718750, cost=0.568347, test acc=0.664891, cost=0.630695, disagree_f1=0.798720, agree_f1=0.000000, average_f1=0.399360
BATCH 5 training acc=0.687500, cost=0.590281, test acc=0.664891, cost=0.619379, disagree_f1=0.798720, agree_f1=0.000000, average_f1=0.399360
BATCH 6 training acc=0.750000, cost=0.573042, test acc=0.664891, cost=0.614554, disagree_f1=0.798720, agree_f1=0.000000, average_f1=0.399360
BATCH 7 training acc=0.593750, cost=0.646952, test acc=0.664891, cost=0.608582, disagree_f1=0.798720, agree_f1=0.000000, average_f1=0.399360
BATCH 8 training acc=0.781250, cost=0.565121, test acc=0.664891, cost=0.606085, disagree_f1=0.798720, agree_f1=0.000000, average_f1=0.399360
BATCH 9 training acc=0.562500, cost=0.699261, test acc=0.663623, cost=0.606770, disagree_f1=0.796563, agree_f1=0.029283, average_f1=0.412923
BATCH 10 training acc=0.656250, cost=0.618310, test acc=0.678336, cost=0.608383, disagree_f1=0.796665, agree_f1=0.230583, average_f1=0.513624
BATCH 11 training acc=0.593750, cost=0.686546, test acc=0.677067, cost=0.618941, disagree_f1=0.773608, agree_f1=0.436975, average_f1=0.605292
BATCH 12 training acc=0.781250, cost=0.584391, test acc=0.678590, cost=0.609040, disagree_f1=0.774756, agree_f1=0.439132, average_f1=0.606944
BATCH 13 training acc=0.593750, cost=0.627550, test acc=0.673262, cost=0.596317, disagree_f1=0.780579, agree_f1=0.360477, average_f1=0.570528
BATCH 14 training acc=0.750000, cost=0.571059, test acc=0.680112, cost=0.595609, disagree_f1=0.793583, agree_f1=0.289577, average_f1=0.541580
BATCH 15 training acc=0.531250, cost=0.704409, test acc=0.679858, cost=0.599394, disagree_f1=0.792911, agree_f1=0.294972, average_f1=0.543942
BATCH 16 training acc=0.625000, cost=0.592849, test acc=0.681126, cost=0.601659, disagree_f1=0.790883, agree_f1=0.328884, average_f1=0.559884
BATCH 17 training acc=0.750000, cost=0.602907, test acc=0.677829, cost=0.598223, disagree_f1=0.784746, agree_f1=0.359879, average_f1=0.572312
BATCH 18 training acc=0.562500, cost=0.608171, test acc=0.682395, cost=0.596597, disagree_f1=0.790144, agree_f1=0.347237, average_f1=0.568690
BATCH 19 training acc=0.656250, cost=0.653321, test acc=0.682648, cost=0.591061, disagree_f1=0.789995, agree_f1=0.350804, average_f1=0.570400
BATCH 20 training acc=0.781250, cost=0.489548, test acc=0.685439, cost=0.590440, disagree_f1=0.795918, agree_f1=0.314159, average_f1=0.555039
BATCH 21 training acc=0.781250, cost=0.466732, test acc=0.682902, cost=0.591084, disagree_f1=0.796483, agree_f1=0.282434, average_f1=0.539459
BATCH 22 training acc=0.531250, cost=0.651710, test acc=0.684678, cost=0.589137, disagree_f1=0.794647, agree_f1=0.321136, average_f1=0.557892
BATCH 23 training acc=0.843750, cost=0.381955, test acc=0.684932, cost=0.590804, disagree_f1=0.795656, agree_f1=0.312292, average_f1=0.553974
BATCH 24 training acc=0.718750, cost=0.592293, test acc=0.681634, cost=0.595063, disagree_f1=0.797874, agree_f1=0.250746, average_f1=0.524310
BATCH 25 training acc=0.687500, cost=0.674560, test acc=0.675799, cost=0.594389, disagree_f1=0.796497, agree_f1=0.203242, average_f1=0.499869
BATCH 26 training acc=0.781250, cost=0.517526, test acc=0.671487, cost=0.595079, disagree_f1=0.795902, agree_f1=0.158545, average_f1=0.477223
BATCH 27 training acc=0.656250, cost=0.679219, test acc=0.672755, cost=0.590205, disagree_f1=0.797615, agree_f1=0.145695, average_f1=0.471655
BATCH 28 training acc=0.750000, cost=0.628488, test acc=0.673516, cost=0.585789, disagree_f1=0.797864, agree_f1=0.151615, average_f1=0.474740
