Using GPU: 3...
X_train.shape=(4700, 2, 64), y_train.shape=(4700,);
X_test.shape=(1176, 2, 64), y_test.shape=(1176,)
Creating the data generator ...
PreTrain Embedding hitRate=0.9742634608872334
model.bilstm.embedding.weight
model.bilstm.quote_bilstm.weight_ih_l0
model.bilstm.quote_bilstm.weight_hh_l0
model.bilstm.quote_bilstm.bias_ih_l0
model.bilstm.quote_bilstm.bias_hh_l0
model.bilstm.quote_bilstm.weight_ih_l0_reverse
model.bilstm.quote_bilstm.weight_hh_l0_reverse
model.bilstm.quote_bilstm.bias_ih_l0_reverse
model.bilstm.quote_bilstm.bias_hh_l0_reverse
model.bilstm.quote_bilstm.weight_ih_l1
model.bilstm.quote_bilstm.weight_hh_l1
model.bilstm.quote_bilstm.bias_ih_l1
model.bilstm.quote_bilstm.bias_hh_l1
model.bilstm.quote_bilstm.weight_ih_l1_reverse
model.bilstm.quote_bilstm.weight_hh_l1_reverse
model.bilstm.quote_bilstm.bias_ih_l1_reverse
model.bilstm.quote_bilstm.bias_hh_l1_reverse
model.bilstm.response_bilstm.weight_ih_l0
model.bilstm.response_bilstm.weight_hh_l0
model.bilstm.response_bilstm.bias_ih_l0
model.bilstm.response_bilstm.bias_hh_l0
model.bilstm.response_bilstm.weight_ih_l0_reverse
model.bilstm.response_bilstm.weight_hh_l0_reverse
model.bilstm.response_bilstm.bias_ih_l0_reverse
model.bilstm.response_bilstm.bias_hh_l0_reverse
model.bilstm.response_bilstm.weight_ih_l1
model.bilstm.response_bilstm.weight_hh_l1
model.bilstm.response_bilstm.bias_ih_l1
model.bilstm.response_bilstm.bias_hh_l1
model.bilstm.response_bilstm.weight_ih_l1_reverse
model.bilstm.response_bilstm.weight_hh_l1_reverse
model.bilstm.response_bilstm.bias_ih_l1_reverse
model.bilstm.response_bilstm.bias_hh_l1_reverse
model.self_dot_q2q_attention_layer.0.weight
model.self_dot_q2q_attention_layer.0.bias
model.self_dot_r2r_attention_layer.0.weight
model.self_dot_r2r_attention_layer.0.bias
model.r2q_attention_layer.0.weight
model.r2q_attention_layer.0.bias
model.r2q_attention_layer.3.weight
model.r2q_attention_layer.3.bias
model.q2r_attention_layer.0.weight
model.q2r_attention_layer.0.bias
model.q2r_attention_layer.3.weight
model.q2r_attention_layer.3.bias
out.0.weight
out.0.bias
out.3.weight
out.3.bias
BATCH 1 training acc=0.687500, cost=0.685296, test acc=0.676020, cost=0.628539, disagree_f1=0.806697, agree_f1=0.000000, average_f1=0.403349
BATCH 2 training acc=0.687500, cost=0.615903, test acc=0.676020, cost=0.650488, disagree_f1=0.806697, agree_f1=0.000000, average_f1=0.403349
BATCH 3 training acc=0.593750, cost=0.749936, test acc=0.676020, cost=0.624920, disagree_f1=0.806697, agree_f1=0.000000, average_f1=0.403349
BATCH 4 training acc=0.531250, cost=0.738259, test acc=0.676020, cost=0.632508, disagree_f1=0.806697, agree_f1=0.000000, average_f1=0.403349
BATCH 5 training acc=0.562500, cost=0.688881, test acc=0.477891, cost=0.696164, disagree_f1=0.491722, agree_f1=0.463287, average_f1=0.477504
BATCH 6 training acc=0.562500, cost=0.682839, test acc=0.482993, cost=0.692999, disagree_f1=0.490787, agree_f1=0.474957, average_f1=0.482872
BATCH 7 training acc=0.593750, cost=0.681698, test acc=0.670068, cost=0.654207, disagree_f1=0.768496, agree_f1=0.426036, average_f1=0.597266
BATCH 8 training acc=0.781250, cost=0.639330, test acc=0.688776, cost=0.619211, disagree_f1=0.807165, agree_f1=0.193833, average_f1=0.500499
BATCH 9 training acc=0.656250, cost=0.629898, test acc=0.676020, cost=0.610906, disagree_f1=0.806304, agree_f1=0.010390, average_f1=0.408347
BATCH 10 training acc=0.718750, cost=0.553665, test acc=0.676020, cost=0.630507, disagree_f1=0.806697, agree_f1=0.000000, average_f1=0.403349
BATCH 11 training acc=0.656250, cost=0.668836, test acc=0.676020, cost=0.643545, disagree_f1=0.806697, agree_f1=0.000000, average_f1=0.403349
BATCH 12 training acc=0.750000, cost=0.500372, test acc=0.676020, cost=0.653718, disagree_f1=0.806697, agree_f1=0.000000, average_f1=0.403349
BATCH 13 training acc=0.718750, cost=0.587478, test acc=0.676020, cost=0.644396, disagree_f1=0.806501, agree_f1=0.005222, average_f1=0.405861
BATCH 14 training acc=0.718750, cost=0.583330, test acc=0.682823, cost=0.631239, disagree_f1=0.809207, agree_f1=0.060453, average_f1=0.434830
BATCH 15 training acc=0.625000, cost=0.807525, test acc=0.685374, cost=0.610677, disagree_f1=0.808091, agree_f1=0.127358, average_f1=0.467725
BATCH 16 training acc=0.562500, cost=0.722799, test acc=0.693878, cost=0.602513, disagree_f1=0.807487, agree_f1=0.253112, average_f1=0.530299
BATCH 17 training acc=0.687500, cost=0.568352, test acc=0.698129, cost=0.610606, disagree_f1=0.801565, agree_f1=0.369449, average_f1=0.585507
BATCH 18 training acc=0.843750, cost=0.528699, test acc=0.687075, cost=0.613449, disagree_f1=0.789714, agree_f1=0.388704, average_f1=0.589209
BATCH 19 training acc=0.625000, cost=0.694203, test acc=0.673469, cost=0.625629, disagree_f1=0.768675, agree_f1=0.445087, average_f1=0.606881
BATCH 20 training acc=0.656250, cost=0.643468, test acc=0.668367, cost=0.628943, disagree_f1=0.762774, agree_f1=0.449153, average_f1=0.605963
BATCH 21 training acc=0.625000, cost=0.628379, test acc=0.679422, cost=0.620550, disagree_f1=0.774656, agree_f1=0.444772, average_f1=0.609714
BATCH 22 training acc=0.656250, cost=0.617499, test acc=0.693027, cost=0.606771, disagree_f1=0.794770, agree_f1=0.391231, average_f1=0.593000
BATCH 23 training acc=0.625000, cost=0.639925, test acc=0.701531, cost=0.597622, disagree_f1=0.810168, agree_f1=0.302187, average_f1=0.556177
BATCH 24 training acc=0.562500, cost=0.657251, test acc=0.704082, cost=0.594518, disagree_f1=0.816456, agree_f1=0.236842, average_f1=0.526649
BATCH 25 training acc=0.625000, cost=0.605879, test acc=0.702381, cost=0.592570, disagree_f1=0.815401, agree_f1=0.232456, average_f1=0.523928
BATCH 26 training acc=0.625000, cost=0.586928, test acc=0.701531, cost=0.589986, disagree_f1=0.814187, agree_f1=0.241901, average_f1=0.528044
BATCH 27 training acc=0.750000, cost=0.523302, test acc=0.700680, cost=0.587583, disagree_f1=0.813953, agree_f1=0.234783, average_f1=0.524368
BATCH 28 training acc=0.531250, cost=0.608171, test acc=0.701531, cost=0.586269, disagree_f1=0.811594, agree_f1=0.282209, average_f1=0.546901
BATCH 29 training acc=0.656250, cost=0.676517, test acc=0.701531, cost=0.583534, disagree_f1=0.808092, agree_f1=0.328872, average_f1=0.568482
BATCH 30 training acc=0.687500, cost=0.541966, test acc=0.691327, cost=0.581984, disagree_f1=0.795493, agree_f1=0.370884, average_f1=0.583188
BATCH 31 training acc=0.687500, cost=0.537389, test acc=0.690476, cost=0.581750, disagree_f1=0.792237, agree_f1=0.393333, average_f1=0.592785
BATCH 32 training acc=0.812500, cost=0.444856, test acc=0.692177, cost=0.586199, disagree_f1=0.795017, agree_f1=0.382253, average_f1=0.588635
BATCH 33 training acc=0.718750, cost=0.588930, test acc=0.694728, cost=0.590332, disagree_f1=0.798201, agree_f1=0.373473, average_f1=0.585837
BATCH 34 training acc=0.750000, cost=0.570268, test acc=0.698980, cost=0.591731, disagree_f1=0.802676, agree_f1=0.365591, average_f1=0.584133
BATCH 35 training acc=0.750000, cost=0.530508, test acc=0.704082, cost=0.586627, disagree_f1=0.806881, agree_f1=0.367273, average_f1=0.587077
BATCH 36 training acc=0.718750, cost=0.632910, test acc=0.701531, cost=0.574910, disagree_f1=0.804674, agree_f1=0.367568, average_f1=0.586121
BATCH 37 training acc=0.593750, cost=0.599754, test acc=0.701531, cost=0.569819, disagree_f1=0.803361, agree_f1=0.380952, average_f1=0.592157
BATCH 38 training acc=0.812500, cost=0.497281, test acc=0.706633, cost=0.570805, disagree_f1=0.804754, agree_f1=0.410256, average_f1=0.607505
BATCH 39 training acc=0.625000, cost=0.639245, test acc=0.698129, cost=0.581605, disagree_f1=0.790313, agree_f1=0.461305, average_f1=0.625809
BATCH 40 training acc=0.718750, cost=0.619664, test acc=0.674320, cost=0.596255, disagree_f1=0.756825, agree_f1=0.507079, average_f1=0.631952
BATCH 41 training acc=0.593750, cost=0.712425, test acc=0.669218, cost=0.595332, disagree_f1=0.749194, agree_f1=0.514357, average_f1=0.631776
BATCH 42 training acc=0.750000, cost=0.554343, test acc=0.689626, cost=0.585142, disagree_f1=0.769425, agree_f1=0.525358, average_f1=0.647391
BATCH 43 training acc=0.718750, cost=0.543175, test acc=0.705782, cost=0.572510, disagree_f1=0.785626, agree_f1=0.531165, average_f1=0.658396
BATCH 44 training acc=0.718750, cost=0.537323, test acc=0.715136, cost=0.560524, disagree_f1=0.801187, agree_f1=0.497751, average_f1=0.649469
BATCH 45 training acc=0.687500, cost=0.600173, test acc=0.712585, cost=0.562028, disagree_f1=0.805300, agree_f1=0.451299, average_f1=0.628299
BATCH 46 training acc=0.812500, cost=0.452408, test acc=0.710034, cost=0.577363, disagree_f1=0.806580, agree_f1=0.421053, average_f1=0.613816
BATCH 47 training acc=0.656250, cost=0.714434, test acc=0.711735, cost=0.581149, disagree_f1=0.808149, agree_f1=0.420513, average_f1=0.614331
BATCH 48 training acc=0.750000, cost=0.450021, test acc=0.713435, cost=0.574966, disagree_f1=0.808196, agree_f1=0.433613, average_f1=0.620905
BATCH 49 training acc=0.812500, cost=0.377836, test acc=0.722789, cost=0.567749, disagree_f1=0.809357, agree_f1=0.492212, average_f1=0.650784
BATCH 50 training acc=0.781250, cost=0.524909, test acc=0.721088, cost=0.564093, disagree_f1=0.804529, agree_f1=0.513353, average_f1=0.658941
BATCH 51 training acc=0.781250, cost=0.537290, test acc=0.718537, cost=0.563548, disagree_f1=0.795553, agree_f1=0.548431, average_f1=0.671992
BATCH 52 training acc=0.812500, cost=0.424143, test acc=0.717687, cost=0.563939, disagree_f1=0.794045, agree_f1=0.551351, average_f1=0.672698
BATCH 53 training acc=0.687500, cost=0.616277, test acc=0.717687, cost=0.561265, disagree_f1=0.797561, agree_f1=0.533708, average_f1=0.665634
BATCH 54 training acc=0.781250, cost=0.612685, test acc=0.724490, cost=0.559934, disagree_f1=0.808962, agree_f1=0.506098, average_f1=0.657530
BATCH 55 training acc=0.687500, cost=0.580798, test acc=0.726190, cost=0.558488, disagree_f1=0.811033, agree_f1=0.503086, average_f1=0.657060
BATCH 56 training acc=0.718750, cost=0.539479, test acc=0.714286, cost=0.560993, disagree_f1=0.806228, agree_f1=0.456311, average_f1=0.631270
BATCH 57 training acc=0.843750, cost=0.429582, test acc=0.715986, cost=0.566133, disagree_f1=0.810443, agree_f1=0.433898, average_f1=0.622170
BATCH 58 training acc=0.593750, cost=0.663555, test acc=0.715986, cost=0.563854, disagree_f1=0.810227, agree_f1=0.435811, average_f1=0.623019
BATCH 59 training acc=0.625000, cost=0.689584, test acc=0.710884, cost=0.561062, disagree_f1=0.804822, agree_f1=0.442623, average_f1=0.623722
BATCH 60 training acc=0.781250, cost=0.467745, test acc=0.716837, cost=0.562438, disagree_f1=0.809169, agree_f1=0.451400, average_f1=0.630285
BATCH 61 training acc=0.562500, cost=0.630989, test acc=0.712585, cost=0.565082, disagree_f1=0.803944, agree_f1=0.461783, average_f1=0.632864
BATCH 62 training acc=0.687500, cost=0.587492, test acc=0.714286, cost=0.569555, disagree_f1=0.804196, agree_f1=0.471698, average_f1=0.637947
BATCH 63 training acc=0.687500, cost=0.629503, test acc=0.711735, cost=0.581113, disagree_f1=0.796396, agree_f1=0.506550, average_f1=0.651473
BATCH 64 training acc=0.718750, cost=0.631775, test acc=0.700680, cost=0.596524, disagree_f1=0.781366, agree_f1=0.525606, average_f1=0.653486
BATCH 65 training acc=0.718750, cost=0.569646, test acc=0.702381, cost=0.599425, disagree_f1=0.781796, agree_f1=0.532086, average_f1=0.656941
BATCH 66 training acc=0.625000, cost=0.581836, test acc=0.707483, cost=0.590865, disagree_f1=0.789216, agree_f1=0.522222, average_f1=0.655719
BATCH 67 training acc=0.625000, cost=0.616283, test acc=0.720238, cost=0.577540, disagree_f1=0.804979, agree_f1=0.505263, average_f1=0.655121
BATCH 68 training acc=0.625000, cost=0.592571, test acc=0.717687, cost=0.573250, disagree_f1=0.804014, agree_f1=0.495441, average_f1=0.649727
BATCH 69 training acc=0.718750, cost=0.515753, test acc=0.721088, cost=0.568395, disagree_f1=0.806375, agree_f1=0.501520, average_f1=0.653948
BATCH 70 training acc=0.812500, cost=0.485561, test acc=0.721088, cost=0.560304, disagree_f1=0.808635, agree_f1=0.485893, average_f1=0.647264
BATCH 71 training acc=0.812500, cost=0.462006, test acc=0.722789, cost=0.554270, disagree_f1=0.809579, agree_f1=0.490625, average_f1=0.650102
BATCH 72 training acc=0.812500, cost=0.513024, test acc=0.724490, cost=0.550439, disagree_f1=0.813579, agree_f1=0.472313, average_f1=0.642946
BATCH 73 training acc=0.750000, cost=0.415767, test acc=0.724490, cost=0.558021, disagree_f1=0.815909, agree_f1=0.452703, average_f1=0.634306
BATCH 74 training acc=0.843750, cost=0.448257, test acc=0.724490, cost=0.583121, disagree_f1=0.817978, agree_f1=0.433566, average_f1=0.625772
BATCH 75 training acc=0.750000, cost=0.498880, test acc=0.725340, cost=0.606782, disagree_f1=0.818233, agree_f1=0.438261, average_f1=0.628247
BATCH 76 training acc=0.718750, cost=0.806590, test acc=0.730442, cost=0.609545, disagree_f1=0.820397, agree_f1=0.459966, average_f1=0.640181
BATCH 77 training acc=0.718750, cost=0.592622, test acc=0.731293, cost=0.591537, disagree_f1=0.817130, agree_f1=0.493590, average_f1=0.655360
BATCH 78 training acc=0.812500, cost=0.431726, test acc=0.726190, cost=0.573247, disagree_f1=0.806258, agree_f1=0.533333, average_f1=0.669795
BATCH 79 training acc=0.687500, cost=0.564520, test acc=0.718537, cost=0.577279, disagree_f1=0.785483, agree_f1=0.590853, average_f1=0.688168
BATCH 80 training acc=0.812500, cost=0.480415, test acc=0.711735, cost=0.594526, disagree_f1=0.771409, agree_f1=0.609896, average_f1=0.690653
BATCH 81 training acc=0.625000, cost=0.534590, test acc=0.695578, cost=0.606937, disagree_f1=0.750696, agree_f1=0.609170, average_f1=0.679933
BATCH 82 training acc=0.750000, cost=0.488670, test acc=0.703231, cost=0.594980, disagree_f1=0.759807, agree_f1=0.611791, average_f1=0.685799
BATCH 83 training acc=0.750000, cost=0.516418, test acc=0.714286, cost=0.569577, disagree_f1=0.778656, agree_f1=0.597122, average_f1=0.687889
BATCH 84 training acc=0.687500, cost=0.653417, test acc=0.722789, cost=0.552944, disagree_f1=0.793147, agree_f1=0.579897, average_f1=0.686522
BATCH 85 training acc=0.906250, cost=0.392665, test acc=0.732993, cost=0.547172, disagree_f1=0.804239, agree_f1=0.580214, average_f1=0.692227
BATCH 86 training acc=0.750000, cost=0.488394, test acc=0.734694, cost=0.542628, disagree_f1=0.811366, agree_f1=0.553009, average_f1=0.682187
BATCH 87 training acc=0.687500, cost=0.491660, test acc=0.739796, cost=0.544656, disagree_f1=0.821053, agree_f1=0.523364, average_f1=0.672209
BATCH 88 training acc=0.750000, cost=0.592909, test acc=0.744048, cost=0.543052, disagree_f1=0.825507, agree_f1=0.519936, average_f1=0.672722
BATCH 89 training acc=0.531250, cost=0.733819, test acc=0.747449, cost=0.536867, disagree_f1=0.826822, agree_f1=0.533752, average_f1=0.680287
BATCH 90 training acc=0.781250, cost=0.486450, test acc=0.748299, cost=0.531897, disagree_f1=0.823178, agree_f1=0.563422, average_f1=0.693300
BATCH 91 training acc=0.718750, cost=0.604653, test acc=0.749150, cost=0.533804, disagree_f1=0.818685, agree_f1=0.593103, average_f1=0.705894
BATCH 92 training acc=0.812500, cost=0.531695, test acc=0.743197, cost=0.542072, disagree_f1=0.808132, agree_f1=0.611825, average_f1=0.709979
BATCH 93 training acc=0.875000, cost=0.422742, test acc=0.732993, cost=0.547637, disagree_f1=0.795306, agree_f1=0.616137, average_f1=0.705722
BATCH 94 training acc=0.750000, cost=0.562725, test acc=0.728741, cost=0.551649, disagree_f1=0.788321, agree_f1=0.622485, average_f1=0.705403
BATCH 95 training acc=0.687500, cost=0.567305, test acc=0.733844, cost=0.547685, disagree_f1=0.794485, agree_f1=0.622437, average_f1=0.708461
BATCH 96 training acc=0.687500, cost=0.554434, test acc=0.764456, cost=0.535633, disagree_f1=0.828057, agree_f1=0.626181, average_f1=0.727119
BATCH 97 training acc=0.843750, cost=0.468939, test acc=0.758503, cost=0.525160, disagree_f1=0.830144, agree_f1=0.582353, average_f1=0.706248
BATCH 98 training acc=0.781250, cost=0.436676, test acc=0.754252, cost=0.521805, disagree_f1=0.834574, agree_f1=0.522314, average_f1=0.678444
BATCH 99 training acc=0.656250, cost=0.563299, test acc=0.759354, cost=0.524091, disagree_f1=0.839478, agree_f1=0.519525, average_f1=0.679501
BATCH 100 training acc=0.875000, cost=0.305497, test acc=0.754252, cost=0.535407, disagree_f1=0.837732, agree_f1=0.493870, average_f1=0.665801
BATCH 101 training acc=0.812500, cost=0.459648, test acc=0.752551, cost=0.542749, disagree_f1=0.837339, agree_f1=0.483126, average_f1=0.660233
BATCH 102 training acc=0.875000, cost=0.335045, test acc=0.754252, cost=0.545492, disagree_f1=0.837183, agree_f1=0.499133, average_f1=0.668158
BATCH 103 training acc=0.687500, cost=0.772518, test acc=0.755952, cost=0.536215, disagree_f1=0.834773, agree_f1=0.533333, average_f1=0.684053
BATCH 104 training acc=0.718750, cost=0.732879, test acc=0.762755, cost=0.521638, disagree_f1=0.835592, agree_f1=0.574046, average_f1=0.704819
BATCH 105 training acc=0.625000, cost=0.717175, test acc=0.753401, cost=0.514254, disagree_f1=0.821648, agree_f1=0.600551, average_f1=0.711100
BATCH 106 training acc=0.687500, cost=0.625833, test acc=0.740646, cost=0.520374, disagree_f1=0.802333, agree_f1=0.622991, average_f1=0.712662
BATCH 107 training acc=0.687500, cost=0.670231, test acc=0.722789, cost=0.539149, disagree_f1=0.777322, agree_f1=0.632883, average_f1=0.705103
BATCH 108 training acc=0.781250, cost=0.450616, test acc=0.678571, cost=0.581668, disagree_f1=0.722874, agree_f1=0.617409, average_f1=0.670141
BATCH 109 training acc=0.531250, cost=0.793700, test acc=0.611395, cost=0.652644, disagree_f1=0.628757, agree_f1=0.592328, average_f1=0.610543
BATCH 110 training acc=0.750000, cost=0.513375, test acc=0.575680, cost=0.697936, disagree_f1=0.571674, agree_f1=0.579612, average_f1=0.575643
BATCH 111 training acc=0.593750, cost=0.705627, test acc=0.562925, cost=0.703465, disagree_f1=0.551483, agree_f1=0.573798, average_f1=0.562641
BATCH 112 training acc=0.562500, cost=0.687605, test acc=0.583333, cost=0.676258, disagree_f1=0.584041, agree_f1=0.582624, average_f1=0.583332
BATCH 113 training acc=0.687500, cost=0.605728, test acc=0.621599, cost=0.631866, disagree_f1=0.642570, agree_f1=0.598013, average_f1=0.620291
BATCH 114 training acc=0.593750, cost=0.587104, test acc=0.690476, cost=0.587527, disagree_f1=0.736614, agree_f1=0.624742, average_f1=0.680678
BATCH 115 training acc=0.625000, cost=0.687842, test acc=0.734694, cost=0.552522, disagree_f1=0.795544, agree_f1=0.622276, average_f1=0.708910
BATCH 116 training acc=0.812500, cost=0.542381, test acc=0.750000, cost=0.533275, disagree_f1=0.825829, agree_f1=0.557229, average_f1=0.691529
BATCH 117 training acc=0.750000, cost=0.546358, test acc=0.739796, cost=0.528596, disagree_f1=0.827508, agree_f1=0.470588, average_f1=0.649048
BATCH 118 training acc=0.718750, cost=0.523800, test acc=0.732143, cost=0.529733, disagree_f1=0.826828, agree_f1=0.409006, average_f1=0.617917
BATCH 119 training acc=0.656250, cost=0.585636, test acc=0.725340, cost=0.531675, disagree_f1=0.824170, agree_f1=0.372816, average_f1=0.598493
BATCH 120 training acc=0.812500, cost=0.452657, test acc=0.724490, cost=0.535996, disagree_f1=0.824104, agree_f1=0.364706, average_f1=0.594405
BATCH 121 training acc=0.718750, cost=0.514157, test acc=0.726190, cost=0.535565, disagree_f1=0.825190, agree_f1=0.368627, average_f1=0.596909
BATCH 122 training acc=0.781250, cost=0.573654, test acc=0.729592, cost=0.529672, disagree_f1=0.825467, agree_f1=0.400000, average_f1=0.612733
BATCH 123 training acc=0.812500, cost=0.401364, test acc=0.737245, cost=0.524329, disagree_f1=0.827855, agree_f1=0.445242, average_f1=0.636549
BATCH 124 training acc=0.843750, cost=0.436752, test acc=0.745748, cost=0.519646, disagree_f1=0.830403, agree_f1=0.492360, average_f1=0.661381
BATCH 125 training acc=0.656250, cost=0.637738, test acc=0.751701, cost=0.514376, disagree_f1=0.830035, agree_f1=0.539432, average_f1=0.684734
BATCH 126 training acc=0.718750, cost=0.558701, test acc=0.755102, cost=0.511689, disagree_f1=0.826923, agree_f1=0.581395, average_f1=0.704159
BATCH 127 training acc=0.718750, cost=0.557997, test acc=0.750000, cost=0.518692, disagree_f1=0.812977, agree_f1=0.623077, average_f1=0.718027
BATCH 128 training acc=0.718750, cost=0.610804, test acc=0.732143, cost=0.527553, disagree_f1=0.792353, agree_f1=0.622754, average_f1=0.707554
BATCH 129 training acc=0.687500, cost=0.540777, test acc=0.719388, cost=0.547576, disagree_f1=0.770833, agree_f1=0.638158, average_f1=0.704496
BATCH 130 training acc=0.718750, cost=0.481434, test acc=0.709184, cost=0.562343, disagree_f1=0.756410, agree_f1=0.639241, average_f1=0.697825
BATCH 131 training acc=0.656250, cost=0.626137, test acc=0.704932, cost=0.562513, disagree_f1=0.752320, agree_f1=0.635121, average_f1=0.693720
BATCH 132 training acc=0.718750, cost=0.607003, test acc=0.714286, cost=0.548874, disagree_f1=0.764376, agree_f1=0.637149, average_f1=0.700762
BATCH 133 training acc=0.781250, cost=0.568214, test acc=0.733844, cost=0.527931, disagree_f1=0.790074, agree_f1=0.636469, average_f1=0.713271
BATCH 134 training acc=0.812500, cost=0.498874, test acc=0.748299, cost=0.512687, disagree_f1=0.810013, agree_f1=0.627204, average_f1=0.718608
BATCH 135 training acc=0.875000, cost=0.336465, test acc=0.761905, cost=0.507110, disagree_f1=0.826733, agree_f1=0.619565, average_f1=0.723149
BATCH 136 training acc=0.781250, cost=0.552409, test acc=0.766156, cost=0.513086, disagree_f1=0.835625, agree_f1=0.594993, average_f1=0.715309
BATCH 137 training acc=0.843750, cost=0.384447, test acc=0.759354, cost=0.530323, disagree_f1=0.835752, agree_f1=0.550079, average_f1=0.692916
BATCH 138 training acc=0.750000, cost=0.521888, test acc=0.757653, cost=0.548474, disagree_f1=0.838160, agree_f1=0.517766, average_f1=0.677963
BATCH 139 training acc=0.843750, cost=0.483867, test acc=0.753401, cost=0.556378, disagree_f1=0.837262, agree_f1=0.491228, average_f1=0.664245
BATCH 140 training acc=0.718750, cost=0.634843, test acc=0.751701, cost=0.549167, disagree_f1=0.836139, agree_f1=0.487719, average_f1=0.661929
BATCH 141 training acc=0.750000, cost=0.563224, test acc=0.755102, cost=0.532936, disagree_f1=0.837472, agree_f1=0.503448, average_f1=0.670460
BATCH 142 training acc=0.656250, cost=0.534617, test acc=0.760204, cost=0.515577, disagree_f1=0.838488, agree_f1=0.534653, average_f1=0.686571
BATCH 143 training acc=0.687500, cost=0.584719, test acc=0.762755, cost=0.503720, disagree_f1=0.837507, agree_f1=0.560630, average_f1=0.699069
BATCH 144 training acc=0.750000, cost=0.465340, test acc=0.762755, cost=0.501908, disagree_f1=0.836171, agree_f1=0.570108, average_f1=0.703140
BATCH 145 training acc=0.687500, cost=0.633272, test acc=0.763605, cost=0.503396, disagree_f1=0.833931, agree_f1=0.589971, average_f1=0.711951
BATCH 146 training acc=0.843750, cost=0.383698, test acc=0.763605, cost=0.506158, disagree_f1=0.832530, agree_f1=0.598266, average_f1=0.715398
