Using GPU: 0...
X_train.shape=(19819, 2, 64), y_train.shape=(19819,);
X_test.shape=(4955, 2, 64), y_test.shape=(4955,)
Creating the data generator ...
PreTrain Embedding hitRate=0.9253959683225342
model.bilstm.embedding.weight
model.bilstm.quote_bilstm.weight_ih_l0
model.bilstm.quote_bilstm.weight_hh_l0
model.bilstm.quote_bilstm.bias_ih_l0
model.bilstm.quote_bilstm.bias_hh_l0
model.bilstm.quote_bilstm.weight_ih_l0_reverse
model.bilstm.quote_bilstm.weight_hh_l0_reverse
model.bilstm.quote_bilstm.bias_ih_l0_reverse
model.bilstm.quote_bilstm.bias_hh_l0_reverse
model.bilstm.quote_bilstm.weight_ih_l1
model.bilstm.quote_bilstm.weight_hh_l1
model.bilstm.quote_bilstm.bias_ih_l1
model.bilstm.quote_bilstm.bias_hh_l1
model.bilstm.quote_bilstm.weight_ih_l1_reverse
model.bilstm.quote_bilstm.weight_hh_l1_reverse
model.bilstm.quote_bilstm.bias_ih_l1_reverse
model.bilstm.quote_bilstm.bias_hh_l1_reverse
model.bilstm.response_bilstm.weight_ih_l0
model.bilstm.response_bilstm.weight_hh_l0
model.bilstm.response_bilstm.bias_ih_l0
model.bilstm.response_bilstm.bias_hh_l0
model.bilstm.response_bilstm.weight_ih_l0_reverse
model.bilstm.response_bilstm.weight_hh_l0_reverse
model.bilstm.response_bilstm.bias_ih_l0_reverse
model.bilstm.response_bilstm.bias_hh_l0_reverse
model.bilstm.response_bilstm.weight_ih_l1
model.bilstm.response_bilstm.weight_hh_l1
model.bilstm.response_bilstm.bias_ih_l1
model.bilstm.response_bilstm.bias_hh_l1
model.bilstm.response_bilstm.weight_ih_l1_reverse
model.bilstm.response_bilstm.weight_hh_l1_reverse
model.bilstm.response_bilstm.bias_ih_l1_reverse
model.bilstm.response_bilstm.bias_hh_l1_reverse
model.r2q_attention_layer.0.weight
model.r2q_attention_layer.0.bias
model.r2q_attention_layer.3.weight
model.r2q_attention_layer.3.bias
model.q2r_attention_layer.0.weight
model.q2r_attention_layer.0.bias
model.q2r_attention_layer.3.weight
model.q2r_attention_layer.3.bias
out.0.weight
out.0.bias
out.3.weight
out.3.bias
BATCH 1 training acc=0.250000, cost=0.695506, test acc=0.519475, cost=0.691284, disagree_f1=0.683756, agree_f1=0.000000, average_f1=0.341878
BATCH 2 training acc=0.437500, cost=0.697759, test acc=0.548739, cost=0.690781, disagree_f1=0.656000, agree_f1=0.344282, average_f1=0.500141
BATCH 3 training acc=0.468750, cost=0.692304, test acc=0.548133, cost=0.690643, disagree_f1=0.630589, agree_f1=0.418290, average_f1=0.524440
BATCH 4 training acc=0.468750, cost=0.698140, test acc=0.480525, cost=0.695526, disagree_f1=0.000000, agree_f1=0.649128, average_f1=0.324564
BATCH 5 training acc=0.531250, cost=0.692658, test acc=0.480525, cost=0.706788, disagree_f1=0.000000, agree_f1=0.649128, average_f1=0.324564
BATCH 6 training acc=0.375000, cost=0.737909, test acc=0.480525, cost=0.702040, disagree_f1=0.000000, agree_f1=0.649128, average_f1=0.324564
BATCH 7 training acc=0.437500, cost=0.706306, test acc=0.480525, cost=0.694395, disagree_f1=0.000000, agree_f1=0.649128, average_f1=0.324564
BATCH 8 training acc=0.437500, cost=0.705321, test acc=0.551362, cost=0.689691, disagree_f1=0.649314, agree_f1=0.377485, average_f1=0.513400
BATCH 9 training acc=0.406250, cost=0.707112, test acc=0.546922, cost=0.689457, disagree_f1=0.670096, agree_f1=0.276973, average_f1=0.473534
BATCH 10 training acc=0.531250, cost=0.689130, test acc=0.535419, cost=0.690742, disagree_f1=0.678132, agree_f1=0.165337, average_f1=0.421735
BATCH 11 training acc=0.531250, cost=0.688957, test acc=0.526741, cost=0.692426, disagree_f1=0.681861, agree_f1=0.076408, average_f1=0.379135
BATCH 12 training acc=0.656250, cost=0.677071, test acc=0.519879, cost=0.695088, disagree_f1=0.683686, agree_f1=0.004186, average_f1=0.343936
BATCH 13 training acc=0.468750, cost=0.703035, test acc=0.519677, cost=0.695321, disagree_f1=0.683847, agree_f1=0.000840, average_f1=0.342343
BATCH 14 training acc=0.531250, cost=0.697558, test acc=0.519677, cost=0.694443, disagree_f1=0.683763, agree_f1=0.001678, average_f1=0.342720
BATCH 15 training acc=0.500000, cost=0.692973, test acc=0.520484, cost=0.692799, disagree_f1=0.683115, agree_f1=0.014925, average_f1=0.349020
BATCH 16 training acc=0.468750, cost=0.722277, test acc=0.534410, cost=0.690450, disagree_f1=0.680161, agree_f1=0.144605, average_f1=0.412383
