Using GPU: 1...
X_train.shape=(4701, 2, 64), y_train.shape=(4701,);
X_test.shape=(1175, 2, 64), y_test.shape=(1175,)
Creating the data generator ...
PreTrain Embedding hitRate=0.9742634608872334
model.bilstm.embedding.weight
model.bilstm.quote_bilstm.weight_ih_l0
model.bilstm.quote_bilstm.weight_hh_l0
model.bilstm.quote_bilstm.bias_ih_l0
model.bilstm.quote_bilstm.bias_hh_l0
model.bilstm.quote_bilstm.weight_ih_l0_reverse
model.bilstm.quote_bilstm.weight_hh_l0_reverse
model.bilstm.quote_bilstm.bias_ih_l0_reverse
model.bilstm.quote_bilstm.bias_hh_l0_reverse
model.bilstm.quote_bilstm.weight_ih_l1
model.bilstm.quote_bilstm.weight_hh_l1
model.bilstm.quote_bilstm.bias_ih_l1
model.bilstm.quote_bilstm.bias_hh_l1
model.bilstm.quote_bilstm.weight_ih_l1_reverse
model.bilstm.quote_bilstm.weight_hh_l1_reverse
model.bilstm.quote_bilstm.bias_ih_l1_reverse
model.bilstm.quote_bilstm.bias_hh_l1_reverse
model.bilstm.response_bilstm.weight_ih_l0
model.bilstm.response_bilstm.weight_hh_l0
model.bilstm.response_bilstm.bias_ih_l0
model.bilstm.response_bilstm.bias_hh_l0
model.bilstm.response_bilstm.weight_ih_l0_reverse
model.bilstm.response_bilstm.weight_hh_l0_reverse
model.bilstm.response_bilstm.bias_ih_l0_reverse
model.bilstm.response_bilstm.bias_hh_l0_reverse
model.bilstm.response_bilstm.weight_ih_l1
model.bilstm.response_bilstm.weight_hh_l1
model.bilstm.response_bilstm.bias_ih_l1
model.bilstm.response_bilstm.bias_hh_l1
model.bilstm.response_bilstm.weight_ih_l1_reverse
model.bilstm.response_bilstm.weight_hh_l1_reverse
model.bilstm.response_bilstm.bias_ih_l1_reverse
model.bilstm.response_bilstm.bias_hh_l1_reverse
model.q2q_attention_layer.0.weight
model.q2q_attention_layer.0.bias
model.q2q_attention_layer.3.weight
model.q2q_attention_layer.3.bias
model.r2r_attention_layer.0.weight
model.r2r_attention_layer.0.bias
model.r2r_attention_layer.3.weight
model.r2r_attention_layer.3.bias
model.r2q_attention_layer.0.weight
model.r2q_attention_layer.0.bias
model.r2q_attention_layer.3.weight
model.r2q_attention_layer.3.bias
model.q2r_attention_layer.0.weight
model.q2r_attention_layer.0.bias
model.q2r_attention_layer.3.weight
model.q2r_attention_layer.3.bias
out.0.weight
out.0.bias
out.3.weight
out.3.bias
BATCH 1 training acc=0.687500, cost=0.670752, test acc=0.666383, cost=0.632252, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 2 training acc=0.593750, cost=0.672271, test acc=0.666383, cost=0.634849, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 3 training acc=0.718750, cost=0.553248, test acc=0.666383, cost=0.653318, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 4 training acc=0.843750, cost=0.469897, test acc=0.666383, cost=0.706388, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 5 training acc=0.656250, cost=0.739464, test acc=0.666383, cost=0.691945, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 6 training acc=0.687500, cost=0.633884, test acc=0.666383, cost=0.654273, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 7 training acc=0.593750, cost=0.717922, test acc=0.666383, cost=0.623194, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 8 training acc=0.750000, cost=0.569862, test acc=0.666383, cost=0.616504, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 9 training acc=0.750000, cost=0.605958, test acc=0.666383, cost=0.615779, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 10 training acc=0.781250, cost=0.561595, test acc=0.666383, cost=0.611525, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 11 training acc=0.906250, cost=0.470541, test acc=0.666383, cost=0.611824, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 12 training acc=0.625000, cost=0.658501, test acc=0.666383, cost=0.614963, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 13 training acc=0.656250, cost=0.622674, test acc=0.666383, cost=0.614513, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 14 training acc=0.656250, cost=0.636224, test acc=0.666383, cost=0.610505, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 15 training acc=0.687500, cost=0.622944, test acc=0.666383, cost=0.606920, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 16 training acc=0.593750, cost=0.600934, test acc=0.666383, cost=0.602853, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 17 training acc=0.687500, cost=0.589826, test acc=0.666383, cost=0.599994, disagree_f1=0.799796, agree_f1=0.000000, average_f1=0.399898
BATCH 18 training acc=0.656250, cost=0.630166, test acc=0.679149, cost=0.598191, disagree_f1=0.805369, agree_f1=0.087167, average_f1=0.446268
BATCH 19 training acc=0.656250, cost=0.535719, test acc=0.698723, cost=0.594298, disagree_f1=0.813094, agree_f1=0.223684, average_f1=0.518389
BATCH 20 training acc=0.687500, cost=0.573841, test acc=0.704681, cost=0.591845, disagree_f1=0.815327, agree_f1=0.263270, average_f1=0.539298
BATCH 21 training acc=0.750000, cost=0.487806, test acc=0.705532, cost=0.604100, disagree_f1=0.815957, agree_f1=0.263830, average_f1=0.539894
BATCH 22 training acc=0.781250, cost=0.452937, test acc=0.704681, cost=0.644988, disagree_f1=0.815915, agree_f1=0.253763, average_f1=0.534839
BATCH 23 training acc=0.625000, cost=0.775441, test acc=0.702979, cost=0.666780, disagree_f1=0.814460, agree_f1=0.255864, average_f1=0.535162
BATCH 24 training acc=0.468750, cost=0.917617, test acc=0.703830, cost=0.652761, disagree_f1=0.813704, agree_f1=0.278008, average_f1=0.545856
BATCH 25 training acc=0.531250, cost=0.823789, test acc=0.713191, cost=0.618466, disagree_f1=0.815948, agree_f1=0.350674, average_f1=0.583311
BATCH 26 training acc=0.750000, cost=0.546188, test acc=0.704681, cost=0.590400, disagree_f1=0.804065, agree_f1=0.400691, average_f1=0.602378
BATCH 27 training acc=0.687500, cost=0.649167, test acc=0.703830, cost=0.581234, disagree_f1=0.798378, agree_f1=0.442308, average_f1=0.620343
BATCH 28 training acc=0.687500, cost=0.601079, test acc=0.699574, cost=0.582187, disagree_f1=0.792231, agree_f1=0.457757, average_f1=0.624994
BATCH 29 training acc=0.718750, cost=0.566276, test acc=0.702979, cost=0.583602, disagree_f1=0.795787, agree_f1=0.455538, average_f1=0.625663
BATCH 30 training acc=0.656250, cost=0.609351, test acc=0.708936, cost=0.584041, disagree_f1=0.803899, agree_f1=0.435644, average_f1=0.619771
BATCH 31 training acc=0.625000, cost=0.677196, test acc=0.711489, cost=0.588436, disagree_f1=0.806175, agree_f1=0.435940, average_f1=0.621058
