Using GPU: 1...
X_train.shape=(2383, 2, 64), y_train.shape=(2383,);
X_test.shape=(596, 2, 64), y_test.shape=(596,)
Creating the data generator ...
PreTrain Embedding hitRate=0.9832497860374129
model.bilstm.embedding.weight
model.bilstm.quote_bilstm.weight_ih_l0
model.bilstm.quote_bilstm.weight_hh_l0
model.bilstm.quote_bilstm.bias_ih_l0
model.bilstm.quote_bilstm.bias_hh_l0
model.bilstm.quote_bilstm.weight_ih_l0_reverse
model.bilstm.quote_bilstm.weight_hh_l0_reverse
model.bilstm.quote_bilstm.bias_ih_l0_reverse
model.bilstm.quote_bilstm.bias_hh_l0_reverse
model.bilstm.quote_bilstm.weight_ih_l1
model.bilstm.quote_bilstm.weight_hh_l1
model.bilstm.quote_bilstm.bias_ih_l1
model.bilstm.quote_bilstm.bias_hh_l1
model.bilstm.quote_bilstm.weight_ih_l1_reverse
model.bilstm.quote_bilstm.weight_hh_l1_reverse
model.bilstm.quote_bilstm.bias_ih_l1_reverse
model.bilstm.quote_bilstm.bias_hh_l1_reverse
model.bilstm.response_bilstm.weight_ih_l0
model.bilstm.response_bilstm.weight_hh_l0
model.bilstm.response_bilstm.bias_ih_l0
model.bilstm.response_bilstm.bias_hh_l0
model.bilstm.response_bilstm.weight_ih_l0_reverse
model.bilstm.response_bilstm.weight_hh_l0_reverse
model.bilstm.response_bilstm.bias_ih_l0_reverse
model.bilstm.response_bilstm.bias_hh_l0_reverse
model.bilstm.response_bilstm.weight_ih_l1
model.bilstm.response_bilstm.weight_hh_l1
model.bilstm.response_bilstm.bias_ih_l1
model.bilstm.response_bilstm.bias_hh_l1
model.bilstm.response_bilstm.weight_ih_l1_reverse
model.bilstm.response_bilstm.weight_hh_l1_reverse
model.bilstm.response_bilstm.bias_ih_l1_reverse
model.bilstm.response_bilstm.bias_hh_l1_reverse
model.cross_dot_v2_r2q_attention_layer.0.weight
model.cross_dot_v2_r2q_attention_layer.0.bias
model.cross_dot_v2_q2r_attention_layer.0.weight
model.cross_dot_v2_q2r_attention_layer.0.bias
out.0.weight
out.0.bias
out.3.weight
out.3.bias
BATCH 1 training acc=0.468750, cost=0.701092, test acc=0.572148, cost=0.691356, disagree_f1=0.585366, agree_f1=0.558059, average_f1=0.571712
BATCH 2 training acc=0.531250, cost=0.694815, test acc=0.615772, cost=0.666843, disagree_f1=0.762201, agree_f1=0.000000, average_f1=0.381101
BATCH 3 training acc=0.562500, cost=0.678806, test acc=0.615772, cost=0.656941, disagree_f1=0.762201, agree_f1=0.000000, average_f1=0.381101
BATCH 4 training acc=0.562500, cost=0.692290, test acc=0.615772, cost=0.655506, disagree_f1=0.762201, agree_f1=0.000000, average_f1=0.381101
BATCH 5 training acc=0.625000, cost=0.663938, test acc=0.615772, cost=0.654758, disagree_f1=0.762201, agree_f1=0.000000, average_f1=0.381101
BATCH 6 training acc=0.687500, cost=0.607752, test acc=0.615772, cost=0.654952, disagree_f1=0.762201, agree_f1=0.000000, average_f1=0.381101
BATCH 7 training acc=0.593750, cost=0.686599, test acc=0.615772, cost=0.652290, disagree_f1=0.762201, agree_f1=0.000000, average_f1=0.381101
BATCH 8 training acc=0.625000, cost=0.654136, test acc=0.615772, cost=0.649155, disagree_f1=0.762201, agree_f1=0.000000, average_f1=0.381101
BATCH 9 training acc=0.656250, cost=0.607044, test acc=0.617450, cost=0.646725, disagree_f1=0.762994, agree_f1=0.008696, average_f1=0.385845
BATCH 10 training acc=0.750000, cost=0.580191, test acc=0.617450, cost=0.649480, disagree_f1=0.762994, agree_f1=0.008696, average_f1=0.385845
BATCH 11 training acc=0.718750, cost=0.538694, test acc=0.617450, cost=0.669985, disagree_f1=0.762994, agree_f1=0.008696, average_f1=0.385845
BATCH 12 training acc=0.625000, cost=0.706669, test acc=0.617450, cost=0.675837, disagree_f1=0.762994, agree_f1=0.008696, average_f1=0.385845
BATCH 13 training acc=0.531250, cost=0.719664, test acc=0.617450, cost=0.661102, disagree_f1=0.762994, agree_f1=0.008696, average_f1=0.385845
BATCH 14 training acc=0.562500, cost=0.727714, test acc=0.622483, cost=0.642570, disagree_f1=0.761905, agree_f1=0.089069, average_f1=0.425487
BATCH 15 training acc=0.718750, cost=0.560968, test acc=0.642617, cost=0.636843, disagree_f1=0.768226, agree_f1=0.219780, average_f1=0.494003
BATCH 16 training acc=0.625000, cost=0.694506, test acc=0.647651, cost=0.638754, disagree_f1=0.757506, agree_f1=0.355828, average_f1=0.556667
BATCH 17 training acc=0.687500, cost=0.634617, test acc=0.649329, cost=0.641567, disagree_f1=0.756126, agree_f1=0.376119, average_f1=0.566123
BATCH 18 training acc=0.531250, cost=0.704618, test acc=0.651007, cost=0.648608, disagree_f1=0.748184, agree_f1=0.431694, average_f1=0.589939
BATCH 19 training acc=0.781250, cost=0.625993, test acc=0.659396, cost=0.645795, disagree_f1=0.758045, agree_f1=0.424929, average_f1=0.591487
BATCH 20 training acc=0.625000, cost=0.638308, test acc=0.656040, cost=0.640555, disagree_f1=0.762457, agree_f1=0.376900, average_f1=0.569678
BATCH 21 training acc=0.781250, cost=0.599902, test acc=0.635906, cost=0.634247, disagree_f1=0.757542, agree_f1=0.269360, average_f1=0.513451
BATCH 22 training acc=0.656250, cost=0.634468, test acc=0.632550, cost=0.631622, disagree_f1=0.763754, agree_f1=0.173585, average_f1=0.468669
BATCH 23 training acc=0.718750, cost=0.586874, test acc=0.624161, cost=0.635219, disagree_f1=0.763713, agree_f1=0.081967, average_f1=0.422840
BATCH 24 training acc=0.625000, cost=0.639891, test acc=0.620805, cost=0.644258, disagree_f1=0.763598, agree_f1=0.042373, average_f1=0.402986
BATCH 25 training acc=0.812500, cost=0.454038, test acc=0.620805, cost=0.667804, disagree_f1=0.764583, agree_f1=0.025862, average_f1=0.395223
BATCH 26 training acc=0.687500, cost=0.537051, test acc=0.617450, cost=0.698840, disagree_f1=0.762994, agree_f1=0.008696, average_f1=0.385845
BATCH 27 training acc=0.468750, cost=0.904942, test acc=0.617450, cost=0.709661, disagree_f1=0.762994, agree_f1=0.008696, average_f1=0.385845
BATCH 28 training acc=0.562500, cost=0.675176, test acc=0.620805, cost=0.699221, disagree_f1=0.764583, agree_f1=0.025862, average_f1=0.395223
BATCH 29 training acc=0.718750, cost=0.557245, test acc=0.617450, cost=0.684393, disagree_f1=0.762004, agree_f1=0.025641, average_f1=0.393823
